phone_number,latitude,longitude,rating,user_rating_count,name,subtype,type,working_hours
+389 78 250 554,41.9899429,21.4259388,4.5,2537,Public Room,restaurant,food,"{""monday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""tuesday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""wednesday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""thursday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""friday"": [{""open"": ""08:00"", ""close"": ""01:00""}], ""saturday"": [{""open"": ""09:00"", ""close"": ""01:00""}], ""sunday"": [{""open"": ""09:00"", ""close"": ""00:00""}]}"
+389 2 325 6668,41.9979554,21.4331383,4.5,1369,Museum of the Macedonian Struggle for Independence,history_museum,culture,"{""monday"": [], ""tuesday"": [{""open"": ""10:00"", ""close"": ""18:00""}], ""wednesday"": [{""open"": ""10:00"", ""close"": ""18:00""}], ""thursday"": [{""open"": ""10:00"", ""close"": ""18:00""}], ""friday"": [{""open"": ""10:00"", ""close"": ""18:00""}], ""saturday"": [{""open"": ""10:00"", ""close"": ""18:00""}], ""sunday"": [{""open"": ""10:00"", ""close"": ""18:00""}]}"
+389 70 410 919,42.00217,21.4222741,4.4,1642,CARDAK,eastern_european_restaurant,other,"{""monday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""tuesday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""wednesday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""thursday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""friday"": [{""open"": ""09:00"", ""close"": ""01:00""}], ""saturday"": [{""open"": ""09:00"", ""close"": ""01:00""}], ""sunday"": [{""open"": ""09:00"", ""close"": ""00:00""}]}"
+389 78 411 302,41.9953782,21.4313878,4.4,3749,Pelister,restaurant,food,"{""monday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""tuesday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""wednesday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""thursday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""friday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""saturday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""sunday"": [{""open"": ""10:00"", ""close"": ""00:00""}]}"
+389 70 248 248,41.9837484,21.4223475,4.4,324,Salvatore Italian Restaurant,italian_restaurant,food,"{""monday"": [{""open"": ""12:00"", ""close"": ""00:00""}], ""tuesday"": [{""open"": ""12:00"", ""close"": ""00:00""}], ""wednesday"": [{""open"": ""12:00"", ""close"": ""00:00""}], ""thursday"": [{""open"": ""12:00"", ""close"": ""00:00""}], ""friday"": [{""open"": ""12:00"", ""close"": ""01:00""}], ""saturday"": [{""open"": ""12:00"", ""close"": ""01:00""}], ""sunday"": [{""open"": ""12:00"", ""close"": ""00:00""}]}"
+389 78 870 000,42.0033999,21.4171433,4.0,1543,Fast Food Royal 2,fast_food_restaurant,food,"{""monday"": [{""open"": ""10:00"", ""close"": ""00:00""}], ""tuesday"": [{""open"": ""10:00"", ""close"": ""00:00""}], ""wednesday"": [{""open"": ""10:00"", ""close"": ""00:00""}], ""thursday"": [{""open"": ""10:00"", ""close"": ""00:00""}], ""friday"": [{""open"": ""10:00"", ""close"": ""01:00""}], ""saturday"": [{""open"": ""10:00"", ""close"": ""01:00""}], ""sunday"": []}"
+389 70 399 957,41.9858774,21.4504345,4.6,224,Sakash?,restaurant,food,"{""monday"": [{""open"": ""10:00"", ""close"": ""23:00""}], ""tuesday"": [{""open"": ""10:00"", ""close"": ""23:00""}], ""wednesday"": [{""open"": ""10:00"", ""close"": ""23:00""}], ""thursday"": [{""open"": ""10:00"", ""close"": ""23:00""}], ""friday"": [{""open"": ""10:00"", ""close"": ""23:00""}], ""saturday"": [{""open"": ""10:00"", ""close"": ""23:00""}], ""sunday"": []}"
+389 2 244 7774,41.9895118,21.4597428,4.5,3339,Fast Food 7 - Aerodrom,fast_food_restaurant,food,"{""monday"": [{""open"": ""08:00"", ""close"": ""23:00""}], ""tuesday"": [{""open"": ""08:00"", ""close"": ""23:00""}], ""wednesday"": [{""open"": ""08:00"", ""close"": ""23:00""}], ""thursday"": [{""open"": ""08:00"", ""close"": ""23:00""}], ""friday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""saturday"": [{""open"": ""13:00"", ""close"": ""23:00""}], ""sunday"": []}"
+389 75 478 134,42.0015746,21.4035183,4.6,1881,Roosty Skopje,restaurant,food,"{""monday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""tuesday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""wednesday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""thursday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""friday"": [{""open"": ""09:00"", ""close"": ""01:00""}], ""saturday"": [{""open"": ""09:00"", ""close"": ""01:00""}], ""sunday"": [{""open"": ""10:00"", ""close"": ""00:00""}]}"
+389 72 273 273,42.0010188,21.4203608,4.2,771,Beer Garden,bar,nightlife,"{""monday"": [{""open"": ""10:00"", ""close"": ""00:00""}], ""tuesday"": [{""open"": ""10:00"", ""close"": ""00:00""}], ""wednesday"": [{""open"": ""10:00"", ""close"": ""00:00""}], ""thursday"": [{""open"": ""10:00"", ""close"": ""00:00""}], ""friday"": [{""open"": ""10:00"", ""close"": ""01:00""}], ""saturday"": [{""open"": ""10:00"", ""close"": ""01:00""}], ""sunday"": [{""open"": ""10:00"", ""close"": ""01:00""}]}"
+389 70 200 021,41.9978001,21.4198865,4.9,528,The Dude Specialty Coffee,cafe,cafe,"{""monday"": [{""open"": ""07:30"", ""close"": ""18:00""}], ""tuesday"": [{""open"": ""07:30"", ""close"": ""18:00""}], ""wednesday"": [{""open"": ""07:30"", ""close"": ""18:00""}], ""thursday"": [{""open"": ""07:30"", ""close"": ""18:00""}], ""friday"": [{""open"": ""07:30"", ""close"": ""18:00""}], ""saturday"": [{""open"": ""08:30"", ""close"": ""16:00""}], ""sunday"": []}"
+389 72 273 333,42.0008631,21.4196145,4.3,640,Casa Bar Skopje,bar,nightlife,"{""monday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""tuesday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""wednesday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""thursday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""friday"": [{""open"": ""08:00"", ""close"": ""01:00""}], ""saturday"": [{""open"": ""09:00"", ""close"": ""01:00""}], ""sunday"": [{""open"": ""09:00"", ""close"": ""00:00""}]}"
+389 70 617 749,41.9953934,21.4099925,4.2,642,Loznica National Restaurant,restaurant,food,"{""monday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""tuesday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""wednesday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""thursday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""friday"": [{""open"": ""08:00"", ""close"": ""01:00""}], ""saturday"": [{""open"": ""08:00"", ""close"": ""01:00""}], ""sunday"": [{""open"": ""08:00"", ""close"": ""00:00""}]}"
+389 2 306 0900,41.9929578,21.4078759,4.5,1496,Dva Elena,restaurant,food,"{""monday"": [{""open"": ""10:30"", ""close"": ""00:00""}], ""tuesday"": [{""open"": ""10:30"", ""close"": ""00:00""}], ""wednesday"": [{""open"": ""10:30"", ""close"": ""00:00""}], ""thursday"": [{""open"": ""10:30"", ""close"": ""00:00""}], ""friday"": [{""open"": ""10:30"", ""close"": ""01:00""}], ""saturday"": [{""open"": ""10:30"", ""close"": ""01:00""}], ""sunday"": [{""open"": ""10:30"", ""close"": ""23:00""}]}"
+389 71 279 660,42.0008454,21.4200545,4.1,747,Kafana „Debar Maalo“,restaurant,food,"{""monday"": [{""open"": ""09:00"", ""close"": ""01:00""}], ""tuesday"": [{""open"": ""09:00"", ""close"": ""01:00""}], ""wednesday"": [{""open"": ""09:00"", ""close"": ""01:00""}], ""thursday"": [{""open"": ""09:00"", ""close"": ""01:00""}], ""friday"": [{""open"": ""09:00"", ""close"": ""01:00""}], ""saturday"": [{""open"": ""09:00"", ""close"": ""01:00""}], ""sunday"": [{""open"": ""09:00"", ""close"": ""01:00""}]}"
+389 78 430 330,41.9948053,21.4138716,4.1,994,Gradska Kafeana Dvor,restaurant,food,"{""monday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""tuesday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""wednesday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""thursday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""friday"": [{""open"": ""08:00"", ""close"": ""01:00""}], ""saturday"": [{""open"": ""08:00"", ""close"": ""01:00""}], ""sunday"": [{""open"": ""08:00"", ""close"": ""00:00""}]}"
+389 2 311 7597,41.9983585,21.4226786,4.4,1137,Bakery La Delicious,bakery,cafe,"{""monday"": [{""open"": ""00:00"", ""close"": ""23:59""}], ""tuesday"": [{""open"": ""00:00"", ""close"": ""23:59""}], ""wednesday"": [{""open"": ""00:00"", ""close"": ""23:59""}], ""thursday"": [{""open"": ""00:00"", ""close"": ""23:59""}], ""friday"": [{""open"": ""00:00"", ""close"": ""23:59""}], ""saturday"": [{""open"": ""00:00"", ""close"": ""23:59""}], ""sunday"": [{""open"": ""00:00"", ""close"": ""23:59""}]}"
+389 70 268 454,41.9947478,21.4140648,4.3,923,Intermezzo Music Bar,bar,nightlife,"{""monday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""tuesday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""wednesday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""thursday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""friday"": [{""open"": ""08:00"", ""close"": ""01:00""}], ""saturday"": [{""open"": ""08:00"", ""close"": ""01:00""}], ""sunday"": [{""open"": ""08:00"", ""close"": ""00:00""}]}"
+389 2 321 1914,41.9974682,21.4233074,4.4,1852,Fast Food 7,fast_food_restaurant,food,"{""monday"": [{""open"": ""09:00"", ""close"": ""17:00""}], ""tuesday"": [{""open"": ""09:00"", ""close"": ""17:00""}], ""wednesday"": [{""open"": ""09:00"", ""close"": ""17:00""}], ""thursday"": [{""open"": ""09:00"", ""close"": ""17:00""}], ""friday"": [{""open"": ""09:00"", ""close"": ""17:00""}], ""saturday"": [{""open"": ""12:00"", ""close"": ""19:00""}], ""sunday"": []}"
+389 70 222 137,42.0007014,21.4190979,4.5,455,Urban Bistro „Kantina“,bistro,other,"{""monday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""tuesday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""wednesday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""thursday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""friday"": [{""open"": ""08:00"", ""close"": ""01:00""}], ""saturday"": [{""open"": ""08:30"", ""close"": ""01:00""}], ""sunday"": [{""open"": ""09:00"", ""close"": ""00:00""}]}"
+389 2 323 2877,41.9948659,21.4136129,4.6,1051,Vodenica Mulino,restaurant,food,"{""monday"": [{""open"": ""12:00"", ""close"": ""00:00""}], ""tuesday"": [{""open"": ""12:00"", ""close"": ""00:00""}], ""wednesday"": [{""open"": ""12:00"", ""close"": ""00:00""}], ""thursday"": [{""open"": ""12:00"", ""close"": ""00:00""}], ""friday"": [{""open"": ""12:00"", ""close"": ""00:00""}], ""saturday"": [{""open"": ""12:00"", ""close"": ""00:00""}], ""sunday"": []}"
,42.0019698,21.4134773,4.4,663,Bar Roosevelt,bar,nightlife,"{""monday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""tuesday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""wednesday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""thursday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""friday"": [{""open"": ""08:00"", ""close"": ""01:00""}], ""saturday"": [{""open"": ""08:00"", ""close"": ""01:00""}], ""sunday"": [{""open"": ""08:00"", ""close"": ""00:00""}]}"
+389 75 404 400,41.9948034,21.4100711,4.3,190,Morino,pizza_restaurant,food,"{""monday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""tuesday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""wednesday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""thursday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""friday"": [{""open"": ""09:00"", ""close"": ""01:00""}], ""saturday"": [{""open"": ""09:00"", ""close"": ""01:00""}], ""sunday"": [{""open"": ""12:00"", ""close"": ""22:30""}]}"
+389 72 535 353,42.0037303,21.4149077,4.4,1451,The Gallery Café,cafe,cafe,"{""monday"": [{""open"": ""07:30"", ""close"": ""00:00""}], ""tuesday"": [{""open"": ""07:30"", ""close"": ""00:00""}], ""wednesday"": [{""open"": ""07:30"", ""close"": ""00:00""}], ""thursday"": [{""open"": ""07:30"", ""close"": ""00:00""}], ""friday"": [{""open"": ""07:30"", ""close"": ""01:00""}], ""saturday"": [{""open"": ""08:00"", ""close"": ""01:00""}], ""sunday"": [{""open"": ""08:00"", ""close"": ""00:00""}]}"
+389 71 216 348,41.9970804,21.4061183,4.3,948,BKW Hybrid Bar,bar,nightlife,"{""monday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""tuesday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""wednesday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""thursday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""friday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""saturday"": [{""open"": ""09:00"", ""close"": ""01:00""}], ""sunday"": [{""open"": ""11:00"", ""close"": ""20:00""}]}"
+389 2 323 3999,41.996783,21.4343423,3.9,1658,Archaeological Museum of the Republic of North Macedonia,museum,culture,"{""monday"": [], ""tuesday"": [{""open"": ""10:00"", ""close"": ""18:00""}], ""wednesday"": [{""open"": ""10:00"", ""close"": ""18:00""}], ""thursday"": [{""open"": ""10:00"", ""close"": ""18:00""}], ""friday"": [{""open"": ""10:00"", ""close"": ""18:00""}], ""saturday"": [{""open"": ""10:00"", ""close"": ""18:00""}], ""sunday"": [{""open"": ""10:00"", ""close"": ""18:00""}]}"
+389 2 311 7734,42.0038889,21.4327778,4.1,697,Museum of Contemporary Art Skopje,art_museum,other,"{""monday"": [], ""tuesday"": [{""open"": ""10:00"", ""close"": ""17:00""}], ""wednesday"": [{""open"": ""10:00"", ""close"": ""17:00""}], ""thursday"": [{""open"": ""10:00"", ""close"": ""17:00""}], ""friday"": [{""open"": ""10:00"", ""close"": ""17:00""}], ""saturday"": [{""open"": ""10:00"", ""close"": ""17:00""}], ""sunday"": [{""open"": ""09:00"", ""close"": ""13:00""}]}"
+389 2 311 4742,41.9910127,21.4289376,4.2,724,Museum of the City of Skopje,museum,culture,"{""monday"": [], ""tuesday"": [{""open"": ""09:00"", ""close"": ""17:00""}], ""wednesday"": [{""open"": ""09:00"", ""close"": ""17:00""}], ""thursday"": [{""open"": ""09:00"", ""close"": ""17:00""}], ""friday"": [{""open"": ""09:00"", ""close"": ""17:00""}], ""saturday"": [{""open"": ""09:00"", ""close"": ""17:00""}], ""sunday"": [{""open"": ""09:00"", ""close"": ""13:00""}]}"
+389 2 312 2697,41.9984402,21.4333552,4.5,389,Holocaust Memorial Center for the Jews of Macedonia,history_museum,culture,"{""monday"": [], ""tuesday"": [{""open"": ""09:00"", ""close"": ""19:00""}], ""wednesday"": [{""open"": ""09:00"", ""close"": ""19:00""}], ""thursday"": [{""open"": ""09:00"", ""close"": ""19:00""}], ""friday"": [{""open"": ""09:00"", ""close"": ""19:00""}], ""saturday"": [{""open"": ""09:00"", ""close"": ""15:00""}], ""sunday"": [{""open"": ""09:00"", ""close"": ""15:00""}]}"
+389 2 311 5225,41.9964916,21.4427678,4.7,636,Youth Cultural Center (YCC),cultural_center,other,"{""monday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""tuesday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""wednesday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""thursday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""friday"": [{""open"": ""09:00"", ""close"": ""01:00""}], ""saturday"": [{""open"": ""09:00"", ""close"": ""01:00""}], ""sunday"": [{""open"": ""09:00"", ""close"": ""00:00""}]}"
+389 75 760 497,41.9945448,21.429421,4.6,678,Café Kotur,bar,nightlife,"{""monday"": [{""open"": ""08:00"", ""close"": ""01:00""}], ""tuesday"": [{""open"": ""08:00"", ""close"": ""01:00""}], ""wednesday"": [{""open"": ""08:00"", ""close"": ""01:00""}], ""thursday"": [{""open"": ""08:00"", ""close"": ""01:00""}], ""friday"": [{""open"": ""08:00"", ""close"": ""01:00""}], ""saturday"": [{""open"": ""09:00"", ""close"": ""01:00""}], ""sunday"": [{""open"": ""09:00"", ""close"": ""01:00""}]}"
+389 2 313 3102,41.9986907,21.4357692,4.4,482,National Gallery of North Macedonia,art_gallery,culture,"{""monday"": null, ""tuesday"": null, ""wednesday"": null, ""thursday"": null, ""friday"": null, ""saturday"": null, ""sunday"": null}"
+389 2 311 6044,42.0026521,21.4362286,3.9,240,Museum of Macedonia,history_museum,culture,"{""monday"": [], ""tuesday"": [{""open"": ""08:00"", ""close"": ""16:00""}], ""wednesday"": [{""open"": ""08:00"", ""close"": ""16:00""}], ""thursday"": [{""open"": ""08:00"", ""close"": ""16:00""}], ""friday"": [{""open"": ""08:00"", ""close"": ""16:00""}], ""saturday"": [{""open"": ""09:00"", ""close"": ""15:00""}], ""sunday"": [{""open"": ""09:00"", ""close"": ""13:00""}]}"
+389 2 322 7986,42.0011685,21.4372826,4.4,2092,National Gallery – Čifte Hammam,museum,culture,"{""monday"": [], ""tuesday"": [{""open"": ""10:00"", ""close"": ""18:00""}], ""wednesday"": [{""open"": ""10:00"", ""close"": ""18:00""}], ""thursday"": [{""open"": ""10:00"", ""close"": ""18:00""}], ""friday"": [{""open"": ""10:00"", ""close"": ""18:00""}], ""saturday"": [{""open"": ""10:00"", ""close"": ""18:00""}], ""sunday"": [{""open"": ""10:00"", ""close"": ""18:00""}]}"
+389 70 674 111,42.0003224,21.4368554,3.9,46,Kapan Inn,history_museum,culture,"{""monday"": null, ""tuesday"": null, ""wednesday"": null, ""thursday"": null, ""friday"": null, ""saturday"": null, ""sunday"": null}"
+389 2 311 5225,41.9964136,21.4425707,4.5,190,Frosina Cinema,movie_theater,entertainment,"{""monday"": null, ""tuesday"": null, ""wednesday"": null, ""thursday"": null, ""friday"": null, ""saturday"": null, ""sunday"": null}"
+389 2 312 0389,41.9946399,21.4358895,4.3,614,Milenium City Cinema,movie_theater,entertainment,"{""monday"": null, ""tuesday"": null, ""wednesday"": null, ""thursday"": null, ""friday"": null, ""saturday"": null, ""sunday"": null}"
,42.0019371,21.4381948,4.4,13,Childrens' Teatre Center,movie_theater,entertainment,"{""monday"": null, ""tuesday"": null, ""wednesday"": null, ""thursday"": null, ""friday"": null, ""saturday"": null, ""sunday"": null}"
,41.996147,21.4358896,,0,arheološki muzej skoplje,museum,culture,"{""monday"": null, ""tuesday"": null, ""wednesday"": null, ""thursday"": null, ""friday"": null, ""saturday"": null, ""sunday"": null}"
,42.0027926,21.4258296,1.0,2,Krug Film Production,movie_theater,entertainment,"{""monday"": null, ""tuesday"": null, ""wednesday"": null, ""thursday"": null, ""friday"": null, ""saturday"": null, ""sunday"": null}"
+389 2 307 1200,41.9996616,21.3909492,4.2,2258,Forza Wine Bar & Restaurant,restaurant,food,"{""monday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""tuesday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""wednesday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""thursday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""friday"": [{""open"": ""08:00"", ""close"": ""01:00""}], ""saturday"": [{""open"": ""08:00"", ""close"": ""01:00""}], ""sunday"": [{""open"": ""08:00"", ""close"": ""00:00""}]}"
+389 70 380 333,41.9983717,21.3986025,4.2,644,Desserts Oselot,dessert_restaurant,other,"{""monday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""tuesday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""wednesday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""thursday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""friday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""saturday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""sunday"": [{""open"": ""09:00"", ""close"": ""23:00""}]}"
+389 72 529 734,42.0031304,21.4005709,4.5,1966,Fast Food 7 - Karposh,fast_food_restaurant,food,"{""monday"": [{""open"": ""08:00"", ""close"": ""23:00""}], ""tuesday"": [{""open"": ""08:00"", ""close"": ""23:00""}], ""wednesday"": [{""open"": ""08:00"", ""close"": ""23:00""}], ""thursday"": [{""open"": ""08:00"", ""close"": ""23:00""}], ""friday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""saturday"": [{""open"": ""13:00"", ""close"": ""23:00""}], ""sunday"": []}"
+389 2 309 0100,42.008315,21.3940034,4.5,441,Oeno Wine Bar & Deli,wine_bar,other,"{""monday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""tuesday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""wednesday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""thursday"": [{""open"": ""08:00"", ""close"": ""00:00""}], ""friday"": [{""open"": ""08:00"", ""close"": ""01:00""}], ""saturday"": [{""open"": ""08:00"", ""close"": ""01:00""}], ""sunday"": [{""open"": ""09:00"", ""close"": ""00:00""}]}"
+389 70 303 535,42.0044198,21.3947264,4.4,1724,Restaurant Sidro 2,seafood_restaurant,other,"{""monday"": [{""open"": ""13:00"", ""close"": ""23:00""}], ""tuesday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""wednesday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""thursday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""friday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""saturday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""sunday"": [{""open"": ""13:00"", ""close"": ""19:00""}]}"
